cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
563,"00-0023459,00-0034844,00-0036862,00-0036894,00-0036900,00-0036912,00-0038542,00-0040735,JAX_DST",boom,49600,,,117.28151,0.0013,117.281525,0.0009,117.281525,,103.44,757668,0.0,4.7975,0.1604,0.0019,0.0002,117.281525,175.60155,2.3475,0.3810168286993244
564,"00-0036264,00-0036900,00-0038994,00-0038996,00-0039040,00-0039849,00-0040666,00-0040948,JAX_DST",boom,49000,,,117.7099,0.0008,117.7099,0.0008,117.7099,,74.38,825777,0.0,1.6047,0.1444,0.0007,0.0,117.709915,170.52591,1.6047,0.33783151390692046
565,"00-0035659,00-0036555,00-0036900,00-0038544,00-0039918,00-0039919,00-0040126,00-0040242,JAX_DST",boom,49400,,,120.4311,0.0034,120.4311,0.0025,120.43109,,104.06,754548,0.0,8.0995,0.2062,0.0031,0.0005,120.4311,181.30708,3.6495,0.5020673470047262
566,"00-0036275,00-0036555,00-0039893,00-0039918,00-0040124,00-0040126,00-0040242,00-0040735,JAX_DST",boom,49000,,,117.99144,0.0049,117.991425,0.0059,117.99144,73.0,150.95999999999998,312474,0.0,13.9874,0.2058,0.0049,0.0008,117.99144,186.62543,4.3874,0.5159903068816497
567,"00-0034753,00-0034796,00-0036550,00-0036963,00-0037664,00-0038542,00-0039139,00-0039424,LV_DST",boom,49900,,,123.13,0.0054,123.13,0.0046,123.13,,178.46,86743,8.0,3.8701,0.2299,0.0032,0.0002,123.13,188.0985,3.7701,0.5570540329351368
568,"00-0032764,00-0034827,00-0034844,00-0036971,00-0038606,00-0038935,00-0040129,00-0040784,PHI_DST",boom,49100,,,118.27631,0.0011,118.27631,0.0015,118.27631,78.0,148.3,341225,0.0,2.4598,0.1756,0.0012,0.0002,118.2763,175.27162,2.3098,0.4186522945573999
569,"00-0032464,00-0032764,00-0036223,00-0036900,00-0038997,00-0039491,00-0039918,00-0040126,JAX_DST",boom,49900,,,123.11402,0.0032,123.11402,0.0035,123.11402,,176.76,95690,8.0,4.6457,0.228,0.0023,0.0006,123.11402,181.97357,3.6457,0.5525063040165974
570,"00-0037239,00-0039040,00-0039139,00-0039491,00-0039918,00-0039919,00-0040126,00-0040729,TEN_DST",boom,50000,,,120.74311,0.0019,120.743126,0.0021,120.743126,,171.96,125341,8.0,2.1515,0.1869,0.0009,0.0001,120.74311,178.4841,2.1515,0.43629688730693944
571,"00-0033293,00-0035685,00-0036264,00-0036912,00-0037248,00-0038124,00-0038559,00-0038996,JAX_DST",boom,49900,15.0,,118.72292,0.0016,118.722916,0.0021,118.722916,29.0,150.38,318679,0.0,4.7574,0.1951,0.0026,0.0005,118.72292,176.15588,3.3074,0.47553376818514115
572,"00-0033293,00-0036322,00-0036355,00-0038046,00-0038120,00-0038542,00-0039849,00-0039915,JAX_DST",boom,49400,,,121.02444,0.0017,121.02442,0.0023,121.02442,,146.06,365903,0.0,3.6318,0.2095,0.0022,0.0004,121.02442,178.78244,3.1318,0.5003527775804212
