season,week,pos,pts,salary,proven_any,proven_noinj
2023,3,WR,33.7,9000.0,True,True
2023,3,RB,54.3,5000.0,False,False
2023,3,WR,28.5,3600.0,True,True
2023,3,WR,48.46,7600.0,True,True
2023,3,QB,32.3,7500.0,True,True
2023,4,WR,26.6,3500.0,False,False
2023,4,RB,51.7,9200.0,True,True
2023,4,WR,30.1,5600.0,True,True
2023,4,TE,27.6,4000.0,True,True
2023,4,RB,30.0,5700.0,True,True
2023,4,WR,38.8,5100.0,True,True
2023,4,WR,41.5,7700.0,True,True
2023,4,QB,23.400000000000002,5000.0,True,True
2023,5,WR,29.6,5200.0,True,True
2023,5,WR,30.700000000000003,5100.0,True,True
2023,5,WR,55.2,7900.0,True,True
2023,5,TE,19.5,3400.0,True,True
2023,5,WR,35.1,9000.0,True,True
2023,5,RB,31.4,5400.0,True,True
2023,5,RB,36.5,5800.0,True,True
2023,5,QB,29.16,4900.0,False,False
2023,6,RB,24.8,6500.0,True,True
2023,6,WR,31.5,5900.0,True,True
2023,6,RB,37.2,6400.0,True,True
2023,6,WR,33.4,7700.0,True,True
2023,6,RB,23.3,7100.0,True,True
2023,6,TE,16.1,3600.0,True,True
2023,6,WR,24.5,4800.0,True,True
2023,6,QB,22.080000000000002,5000.0,True,True
2023,7,QB,34.1,5200.0,True,True
2023,7,WR,26.5,4500.0,False,False
2023,7,RB,27.6,6300.0,False,False
2023,7,WR,21.3,4800.0,True,True
2023,7,TE,38.900000000000006,8000.0,True,True
2023,7,RB,33.0,4800.0,True,False
2023,7,WR,26.4,7600.0,True,True
2023,7,TE,22.8,5000.0,True,True
2023,8,WR,37.8,5500.0,True,True
2023,8,RB,29.4,5500.0,True,True
2023,8,TE,25.5,2800.0,True,True
2023,8,RB,29.799999999999997,9200.0,True,True
2023,8,WR,44.0,7600.0,True,True
2023,8,WR,27.3,3900.0,True,True
2023,8,WR,36.0,8000.0,True,True
2023,8,QB,34.980000000000004,5200.0,True,True
2023,9,WR,27.9,6100.0,True,True
2023,9,WR,32.1,8200.0,True,True
2023,9,RB,23.400000000000002,4000.0,False,False
2023,9,WR,32.6,5300.0,True,True
2023,9,WR,30.3,3100.0,True,True
2023,9,TE,31.0,4200.0,True,True
2023,9,RB,27.900000000000002,5600.0,True,True
2023,9,QB,44.8,6200.0,True,True
2023,10,WR,43.5,8800.0,True,True
2023,10,WR,27.2,3700.0,True,True
2023,10,RB,26.1,4700.0,True,True
2023,10,TE,33.4,5000.0,True,True
2023,10,WR,35.3,4200.0,True,True
2023,10,WR,42.5,8500.0,True,True
2023,10,QB,41.86,6700.0,True,True
2023,10,RB,30.700000000000003,5400.0,True,True
2023,11,WR,31.9,5900.0,True,True
2023,11,RB,30.0,7100.0,True,True
2023,11,WR,23.5,3200.0,False,False
2023,11,RB,26.5,5100.0,True,True
2023,11,WR,29.6,7200.0,True,True
2023,11,TE,22.9,6400.0,True,True
2023,11,WR,34.1,5400.0,True,True
2023,11,QB,32.18,6000.0,True,True
2023,12,WR,26.6,7100.0,True,True
2023,12,QB,43.660000000000004,8100.0,True,True
2023,12,WR,26.4,6400.0,True,True
2023,12,WR,27.700000000000003,5500.0,False,False
2023,12,TE,19.9,3500.0,True,True
2023,12,RB,27.3,6500.0,True,True
2023,12,TE,24.0,2900.0,False,False
2023,12,RB,41.400000000000006,6600.0,True,True
2023,13,RB,25.5,5800.0,True,True
2023,13,WR,32.2,7700.0,True,True
2023,13,RB,25.4,5300.0,True,True
2023,13,WR,37.1,6800.0,True,True
2023,13,TE,32.0,5600.0,True,True
2023,13,WR,22.0,3300.0,False,False
2023,13,WR,38.8,6200.0,True,True
2023,13,QB,32.46,6100.0,True,True
2023,14,RB,25.1,6000.0,True,True
2023,14,WR,26.8,6500.0,True,True
2023,14,RB,26.6,6200.0,True,True
2023,14,TE,27.1,4100.0,True,True
2023,14,TE,32.5,4800.0,True,True
2023,14,QB,35.64,7700.0,True,True
2023,14,WR,37.0,6800.0,True,True
2023,14,WR,32.2,4600.0,True,True
2023,15,TE,29.4,4700.0,True,True
2023,15,RB,39.1,6300.0,True,True
2023,15,WR,22.200000000000003,5000.0,True,True
2023,15,TE,19.6,3200.0,True,True
2023,15,RB,44.7,9300.0,True,True
2023,15,QB,33.04,5700.0,False,False
2023,15,WR,28.5,5900.0,True,True
2023,15,WR,29.1,5600.0,False,False
2023,16,WR,54.5,6400.0,True,True
2023,16,QB,29.82,5500.0,True,True
2023,16,WR,31.6,8200.0,True,True
2023,16,RB,25.0,7000.0,True,True
2023,16,WR,27.8,3100.0,False,False
2023,16,WR,27.6,7600.0,True,True
2023,16,TE,18.3,3100.0,False,False
2023,16,RB,43.1,6100.0,True,True
2023,17,RB,29.3,5900.0,True,True
2023,17,WR,33.9,6600.0,True,True
2023,17,RB,32.5,6800.0,True,True
2023,17,WR,23.6,3400.0,False,False
2023,17,WR,40.6,7400.0,True,True
2023,17,TE,23.0,3400.0,False,False
2023,17,RB,27.200000000000003,5000.0,True,True
2023,17,QB,39.34,7700.0,True,True
2023,18,WR,20.6,3000.0,False,False
2023,18,WR,35.5,9300.0,True,True
2023,18,TE,23.9,5400.0,True,True
2023,18,WR,39.0,8500.0,True,True
2023,18,RB,32.0,7200.0,True,True
2023,18,WR,23.3,3400.0,False,False
2023,18,RB,33.4,6100.0,True,True
2023,18,QB,27.12,4500.0,False,False
2024,1,WR,29.0,8700.0,True,True
2024,1,TE,14.3,2500.0,False,False
2024,1,QB,32.18,8000.0,True,True
2024,1,WR,24.5,4000.0,True,True
2024,1,WR,22.3,5800.0,True,True
2024,1,RB,29.799999999999997,6600.0,True,True
2024,1,RB,25.9,4900.0,False,False
2024,1,RB,24.6,5900.0,True,True
2024,2,RB,23.1,5400.0,True,True
2024,2,WR,32.0,6900.0,False,False
2024,2,RB,47.0,7000.0,True,True
2024,2,WR,31.9,5900.0,True,True
2024,2,TE,21.9,3800.0,True,True
2024,2,WR,27.700000000000003,6000.0,True,True
2024,2,QB,28.54,6600.0,False,False
2024,2,WR,31.700000000000003,5900.0,False,False
2024,3,QB,32.86,6600.0,True,True
2024,3,RB,33.4,6500.0,True,True
2024,3,WR,29.200000000000003,4900.0,True,True
2024,3,RB,30.9,5200.0,True,True
2024,3,WR,28.200000000000003,6400.0,True,True
2024,3,RB,36.6,7700.0,True,True
2024,3,TE,30.0,4600.0,True,True
2024,3,WR,49.5,4100.0,False,False
2024,4,RB,25.099999999999998,5700.0,True,True
2024,4,WR,36.1,7200.0,True,True
2024,4,RB,29.5,5500.0,False,False
2024,4,TE,18.3,3000.0,True,True
2024,4,WR,24.8,4500.0,True,True
2024,4,WR,30.1,6000.0,True,True
2024,4,RB,27.0,6700.0,True,True
2024,4,QB,35.980000000000004,5500.0,True,True
2024,5,WR,44.3,8000.0,True,True
2024,5,WR,29.3,6000.0,True,True
2024,5,RB,20.0,5700.0,True,True
2024,5,WR,30.5,6600.0,True,True
2024,5,TE,24.8,3500.0,True,True
2024,5,RB,28.900000000000002,5900.0,False,False
2024,5,WR,29.200000000000003,3900.0,True,True
2024,5,QB,37.78,6400.0,True,True
2024,6,WR,21.200000000000003,4400.0,False,False
2024,6,RB,30.200000000000003,6900.0,True,True
2024,6,WR,38.5,6900.0,True,True
2024,6,RB,37.2,4000.0,False,False
2024,6,WR,25.4,6500.0,True,True
2024,6,TE,15.600000000000001,3900.0,True,True
2024,6,RB,28.200000000000003,8000.0,True,True
2024,6,QB,31.9,6500.0,True,True
2024,7,QB,19.6,4400.0,False,False
2024,7,WR,18.1,3000.0,False,False
2024,7,WR,28.200000000000003,8300.0,True,True
2024,7,RB,35.0,6900.0,True,True
2024,7,RB,29.4,7200.0,True,True
2024,7,TE,22.6,3400.0,True,True
2024,7,RB,29.700000000000003,8200.0,True,True
2024,7,WR,19.5,5400.0,False,False
2024,8,RB,26.700000000000003,6200.0,True,True
2024,8,TE,29.1,3500.0,True,True
2024,8,WR,28.9,3300.0,False,False
2024,8,RB,31.3,7000.0,True,True
2024,8,RB,28.500000000000004,6600.0,True,True
2024,8,WR,32.1,5100.0,False,False
2024,8,QB,35.14,7500.0,True,True
2024,8,WR,26.6,5200.0,True,True
2024,9,WR,32.7,7000.0,True,True
2024,9,RB,36.9,8200.0,True,True
2024,9,WR,27.4,4800.0,True,True
2024,9,WR,40.0,6200.0,True,True
2024,9,RB,29.7,5900.0,True,True
2024,9,TE,30.0,3100.0,True,True
2024,9,RB,32.1,6700.0,True,True
2024,9,QB,25.36,5200.0,False,False
2024,10,RB,32.4,7700.0,True,True
2024,10,WR,28.9,3900.0,False,False
2024,10,TE,20.4,6000.0,True,True
2024,10,WR,19.0,5600.0,True,True
2024,10,QB,28.740000000000002,6300.0,True,True
2024,10,RB,22.3,6500.0,True,True
2024,10,WR,17.3,4400.0,False,False
2024,10,WR,25.4,5700.0,True,True
2024,11,WR,29.200000000000003,5400.0,False,False
2024,11,TE,46.52,4500.0,True,True
2024,11,RB,31.1,7500.0,True,True
2024,11,WR,41.7,8000.0,True,True
2024,11,QB,37.580000000000005,6300.0,True,True
2024,11,RB,24.5,6500.0,True,True
2024,11,TE,31.1,3800.0,True,True
2024,11,WR,22.700000000000003,3600.0,False,False
2024,12,TE,28.3,5600.0,True,True
2024,12,WR,29.700000000000003,5800.0,True,True
2024,12,WR,29.900000000000002,5500.0,True,True
2024,12,WR,33.2,5100.0,True,True
2024,12,WR,31.4,5300.0,True,True
2024,12,RB,31.6,6800.0,True,True
2024,12,RB,27.200000000000003,5300.0,False,False
2024,12,QB,32.4,7000.0,True,True
2024,13,WR,27.3,3900.0,False,False
2024,13,RB,28.500000000000004,7300.0,True,True
2024,13,TE,18.9,3900.0,True,True
2024,13,QB,30.86,5700.0,False,False
2024,13,RB,24.9,6000.0,True,True
2024,13,RB,30.500000000000004,5800.0,True,True
2024,13,WR,28.8,6700.0,True,True
2024,13,WR,27.3,7100.0,True,True
2024,14,WR,35.2,7800.0,True,True
2024,14,WR,42.3,5300.0,True,True
2024,14,QB,54.88,8000.0,True,True
2024,14,WR,44.8,7700.0,True,True
2024,14,WR,28.0,5200.0,True,True
2024,14,RB,26.8,5400.0,False,False
2024,14,TE,13.8,2700.0,False,False
2024,14,RB,41.3,4800.0,True,True
2024,15,QB,44.06,6500.0,True,True
2024,15,WR,41.3,7600.0,True,True
2024,15,RB,27.200000000000003,4300.0,True,True
2024,15,RB,33.8,6600.0,True,True
2024,15,WR,45.8,6900.0,True,True
2024,15,WR,35.5,5800.0,True,True
2024,15,TE,18.3,2500.0,False,False
2024,15,WR,31.0,5500.0,True,True
2024,16,RB,35.5,6800.0,True,True
2024,16,WR,32.1,5300.0,True,True
2024,16,WR,29.0,5500.0,True,True
2024,16,WR,24.0,3500.0,False,False
2024,16,RB,34.0,7400.0,True,True
2024,16,RB,42.8,6900.0,True,True
2024,16,TE,19.1,3400.0,True,True
2024,16,QB,36.42,7300.0,True,True
2024,17,RB,26.0,6700.0,True,True
2024,17,WR,31.0,5700.0,True,True
2024,17,WR,33.0,5800.0,True,True
2024,17,RB,30.6,7900.0,True,True
2024,17,QB,37.36,4900.0,False,False
2024,17,WR,28.9,4700.0,True,True
2024,17,WR,39.1,6600.0,True,True
2024,17,TE,21.7,2900.0,False,False
2024,18,WR,27.700000000000003,4200.0,True,True
2024,18,WR,43.7,6500.0,True,True
2024,18,RB,34.3,8500.0,True,True
2024,18,WR,30.3,5700.0,True,True
2024,18,WR,34.6,4800.0,True,True
2024,18,TE,19.6,5800.0,True,True
2024,18,RB,26.6,4000.0,False,False
2024,18,QB,36.54,6400.0,True,True
