season,week,position,player,salary,ownership_pct,fantasy_points
2024,12,FLEX,J. Gibbs,7300,13.5%,24.9
2024,12,DST,Cardinals,2600,3.4%,11.0
2024,13,QB,J. Daniels,7200,2.9%,28.64
2024,13,RB,B. Irving,5800,34.3%,30.5
2024,13,RB,B. Robinson Jr.,6100,4.6%,20.9
2024,13,WR,T. McLaurin,7100,2.3%,27.3
2024,13,WR,L. McConkey,6100,21.8%,23.7
2024,13,WR,N. Westbrook-Ikhine,4300,4.3%,21.1
2024,13,TE,P. Freiermuth,3500,4.6%,18.8
2024,13,FLEX,M. Evans,6700,17.5%,28.8
2024,13,DST,Chargers,3300,1.9%,19.0
2024,14,QB,J. Allen,8000,6.2%,54.88
2024,14,RB,J. Guerendo,5400,41.0%,26.8
2024,14,RB,Z. Charbonnet,4800,43.3%,41.3
2024,14,WR,P. Nacua,7700,7.3%,44.8
2024,14,WR,K. Shakir,5900,7.2%,24.6
2024,14,WR,D. Mooney,5500,7.0%,23.2
2024,14,TE,P. Freiermuth,3800,9.3%,13.8
2024,14,FLEX,J. Addison,5300,10.9%,42.3
2024,14,DST,Steelers,3500,10.3%,10.0
2024,15,QB,J. Goff,6500,4.4%,44.06
2024,15,RB,C. Brown,7200,14.8%,26.3
2024,15,RB,R. Stevenson,5900,5.7%,9.5
2024,15,WR,A. St. Brown,7600,11.0%,41.3
2024,15,WR,D. Adams,6900,10.6%,45.8
2024,15,WR,B. Thomas,5800,8.1%,35.5
2024,15,TE,Brenton Strange,2500,9.1%,18.3
2024,15,FLEX,S. LaPorta,4400,7.8%,21.1
2024,15,DST,Broncos,3200,13.4%,20.0
2024,16,QB,M. Penix Jr.,4500,19.1%,7.38
2024,16,RB,J. Taylor,6900,6.0%,42.8
2024,16,RB,C. Hubbard,6800,10.4%,35.5
2024,16,WR,K. Boutte,3500,1.4%,20.5
2024,16,WR,J. Smith-Njigba,6000,18.2%,24.0
2024,16,WR,K. Allen,5300,18.8%,32.1
2024,16,TE,G. Kittle,6000,5.1%,21.6
2024,16,FLEX,J. Conner,7100,28.9%,29.6
2024,16,DST,Falcons,3700,4.0%,25.0
2024,17,QB,B. Mayfield,6900,23.0%,37.56
2024,17,RB,J. Taylor,7900,31.1%,30.6
2024,17,RB,B. Irving,6700,44.6%,26.0
2024,17,WR,M. Evans,7500,34.1%,29.7
2024,17,WR,D. Smith,5800,5.3%,33.0
2024,17,WR,A. Thielen,5700,22.8%,31.0
2024,17,TE,J. Johnson,3500,1.4%,12.6
2024,17,FLEX,T. Conklin,2900,2.3%,21.7
2024,17,DST,Eagles,3100,13.8%,19.0
2024,18,QB,B. Nix,6400,7.3%,36.54
2024,18,RB,M. Carter,4700,32.6%,15.9
2024,18,RB,B. Robinson,8500,40.6%,34.3
2024,18,WR,C. Sutton,6400,20.5%,20.8
2024,18,WR,J. Meyers,5700,5.5%,30.3
2024,18,WR,D. London,6500,15.3%,43.7
2024,18,TE,Z. Ertz,4000,14.4%,15.4
2024,18,FLEX,M. Mims Jr.,4600,9.1%,22.1
2024,18,DST,Broncos,3000,19.1%,15.0
